"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Madison Bumgarner","Giants","13","9","0","31","31","201.1","8.90","2.77","0.67",".251","75.7 %","46.8 %","8.2 %","2.77","3.05","3.32","3.8","5524"
"Jordan Zimmermann","Nationals","19","9","0","32","32","213.1","6.79","1.69","0.80",".271","74.4 %","47.6 %","9.5 %","3.25","3.36","3.48","3.7","4505"
"Hiroki Kuroda","Yankees","11","13","0","32","32","201.1","6.71","1.92","0.89",".282","75.8 %","46.6 %","10.3 %","3.31","3.56","3.60","3.7","3283"
"Lance Lynn","Cardinals","15","10","0","33","33","201.2","8.84","3.39","0.62",".314","71.8 %","43.1 %","7.4 %","3.97","3.28","3.66","3.7","2520"
"Hyun-Jin Ryu","Dodgers","14","8","0","30","30","192.0","7.22","2.30","0.70",".296","78.2 %","50.6 %","8.7 %","3.00","3.24","3.46","3.6","14444"
"Justin Masterson","Indians","14","10","0","32","29","193.0","9.09","3.54","0.61",".285","75.4 %","58.0 %","10.7 %","3.45","3.35","3.33","3.5","2038"
"Mike Minor","Braves","13","9","0","32","32","204.2","7.96","2.02","0.97",".272","75.1 %","35.0 %","8.8 %","3.21","3.37","3.64","3.5","10021"
"Jose Quintana","White Sox","9","7","0","33","33","200.0","7.38","2.52","1.03",".283","76.6 %","42.5 %","10.2 %","3.51","3.82","3.86","3.5","11423"
"Patrick Corbin","Diamondbacks","14","8","0","32","32","208.1","7.69","2.33","0.82",".283","75.9 %","46.7 %","10.1 %","3.41","3.43","3.48","3.5","9323"
"Jon Lester","Red Sox","15","8","0","33","33","213.1","7.47","2.83","0.80",".300","73.7 %","45.0 %","8.3 %","3.75","3.59","3.90","3.5","4930"
"Ubaldo Jimenez","Indians","13","9","0","32","32","182.2","9.56","3.94","0.79",".304","76.5 %","43.9 %","9.0 %","3.30","3.43","3.62","3.4","3374"
"Zack Greinke","Dodgers","15","4","0","28","28","177.2","7.50","2.33","0.66",".276","80.8 %","45.6 %","8.6 %","2.63","3.23","3.45","3.4","1943"
"Stephen Strasburg","Nationals","8","9","0","30","30","183.0","9.39","2.75","0.79",".263","73.2 %","51.5 %","11.1 %","3.00","3.21","3.15","3.3","10131"
"Francisco Liriano","Pirates","16","8","0","26","26","161.0","9.11","3.52","0.50",".290","77.6 %","50.5 %","8.3 %","3.02","2.92","3.12","3.3","3201"
"Ricky Nolasco","- - -","13","11","0","34","33","199.1","7.45","2.08","0.77",".299","70.9 %","43.0 %","8.7 %","3.70","3.34","3.58","3.2","3830"
"Gio Gonzalez","Nationals","11","8","0","32","32","195.2","8.83","3.50","0.78",".286","75.3 %","43.9 %","9.7 %","3.36","3.41","3.51","3.2","7448"
"C.J. Wilson","Angels","17","7","0","33","33","212.1","7.97","3.60","0.64",".300","73.5 %","44.4 %","7.2 %","3.39","3.51","3.93","3.2","3580"
"Eric Stults","Padres","11","13","0","33","33","203.2","5.79","1.77","0.80",".302","69.6 %","40.4 %","6.9 %","3.93","3.53","4.13","3.1","8011"
"Andy Pettitte","Yankees","11","11","0","30","30","185.1","6.22","2.33","0.83",".308","72.9 %","46.0 %","9.1 %","3.74","3.70","3.88","3.1","840"
"Koji Uehara","Red Sox","4","1","21","73","0","74.1","12.23","1.09","0.61",".188","91.7 %","40.4 %","6.8 %","1.09","1.61","2.08","3.1","9227"
"Greg Holland","Royals","2","1","47","68","0","67.0","13.84","2.42","0.40",".282","87.4 %","39.4 %","6.8 %","1.21","1.36","1.68","3.0","7196"
"Rick Porcello","Tigers","13","8","0","32","29","177.0","7.22","2.14","0.92",".315","69.8 %","55.3 %","14.1 %","4.32","3.53","3.19","2.9","2717"
"Corey Kluber","Indians","11","5","0","26","24","147.1","8.31","2.02","0.92",".329","72.9 %","45.5 %","12.4 %","3.85","3.30","3.10","2.8","2429"
"Clay Buchholz","Red Sox","12","1","0","16","16","108.1","7.98","2.99","0.33",".254","83.7 %","47.7 %","4.5 %","1.74","2.78","3.41","2.8","3543"
"Travis Wood","Cubs","9","12","0","32","32","200.0","6.48","2.97","0.81",".248","77.4 %","33.2 %","6.9 %","3.11","3.89","4.50","2.7","9884"
"Scott Kazmir","Indians","10","9","0","29","29","158.0","9.23","2.68","1.08",".324","73.4 %","40.9 %","11.6 %","4.04","3.51","3.36","2.7","4897"
"Jeff Samardzija","Cubs","8","13","0","33","33","213.2","9.01","3.29","1.05",".314","71.7 %","48.2 %","13.3 %","4.34","3.77","3.45","2.7","3254"
"Bud Norris","- - -","10","12","0","32","30","176.2","7.49","3.41","0.87",".333","73.3 %","40.2 %","8.1 %","4.18","3.86","4.22","2.7","9492"
"Andrew Cashner","Padres","10","9","0","31","26","175.0","6.58","2.42","0.62",".269","72.4 %","52.5 %","8.1 %","3.09","3.35","3.62","2.6","8782"
"Kris Medlen","Braves","15","12","0","32","31","197.0","7.17","2.15","0.82",".298","76.9 %","45.3 %","9.9 %","3.11","3.48","3.55","2.6","9417"
"Jorge de la Rosa","Rockies","16","6","0","30","30","167.2","6.01","3.33","0.59",".303","75.4 %","47.3 %","7.7 %","3.49","3.76","4.08","2.6","2047"
"CC Sabathia","Yankees","14","13","0","32","32","211.0","7.46","2.77","1.19",".308","67.4 %","44.7 %","13.0 %","4.78","4.10","3.76","2.6","404"
"Mark Melancon","Pirates","3","2","16","72","0","71.0","8.87","1.01","0.13",".296","79.9 %","60.3 %","3.2 %","1.39","1.64","2.05","2.5","4264"
"Alex Cobb","Rays","11","3","0","22","22","143.1","8.41","2.83","0.82",".279","81.4 %","55.8 %","14.8 %","2.76","3.36","3.02","2.5","6562"
"Gerrit Cole","Pirates","10","7","0","19","19","117.1","7.67","2.15","0.54",".308","74.5 %","49.1 %","8.1 %","3.22","2.91","3.14","2.5","13125"
"Julio Teheran","Braves","14","8","0","30","30","185.2","8.24","2.18","1.07",".288","80.9 %","37.8 %","10.1 %","3.20","3.69","3.76","2.5","6797"
"Ervin Santana","Royals","9","10","0","32","32","211.0","6.87","2.18","1.11",".267","76.9 %","46.2 %","12.4 %","3.24","3.93","3.69","2.5","3200"
"Ivan Nova","Yankees","9","6","0","23","20","139.1","7.49","2.84","0.58",".313","79.8 %","53.5 %","8.4 %","3.10","3.47","3.68","2.5","1994"
"Shelby Miller","Cardinals","15","9","0","31","31","173.1","8.77","2.96","1.04",".280","80.1 %","38.4 %","10.1 %","3.06","3.67","3.73","2.4","10197"
"John Lackey","Red Sox","10","13","0","29","29","189.1","7.65","1.90","1.24",".281","76.9 %","46.8 %","13.3 %","3.52","3.86","3.49","2.4","1507"
"Kenley Jansen","Dodgers","4","3","28","75","0","76.2","13.03","2.11","0.70",".273","87.5 %","37.3 %","9.8 %","1.88","1.99","2.06","2.4","3096"
"Joe Nathan","Rangers","6","2","43","67","0","64.2","10.16","3.06","0.28",".224","87.2 %","32.0 %","3.0 %","1.39","2.26","3.27","2.3","1122"
"Jered Weaver","Angels","11","8","0","24","24","154.1","6.82","2.16","0.99",".268","78.5 %","30.8 %","7.8 %","3.27","3.82","4.31","2.3","4235"
"Kyle Lohse","Brewers","11","10","0","32","32","198.2","5.66","1.63","1.18",".276","79.1 %","40.2 %","10.8 %","3.35","4.08","4.03","2.3","739"
"Trevor Rosenthal","Cardinals","2","4","3","74","0","75.1","12.90","2.39","0.48",".341","76.7 %","44.4 %","6.5 %","2.63","1.91","2.34","2.3","10745"
"Mark Buehrle","Blue Jays","12","10","0","33","33","203.2","6.14","2.25","1.06",".305","73.4 %","45.3 %","10.6 %","4.15","4.10","4.09","2.3","225"
"Craig Kimbrel","Braves","4","3","50","68","0","67.0","13.16","2.69","0.54",".263","92.2 %","47.4 %","10.3 %","1.21","1.93","1.95","2.3","6655"
"Felix Doubront","Red Sox","11","6","0","29","27","162.1","7.71","3.94","0.72",".310","69.9 %","45.6 %","7.8 %","4.32","3.78","4.14","2.2","1478"
"Yovani Gallardo","Brewers","12","10","0","31","31","180.2","7.17","3.29","0.90",".299","70.2 %","49.2 %","11.9 %","4.18","3.89","3.74","2.2","8173"
"Jake Peavy","- - -","12","5","0","23","23","144.2","7.53","2.24","1.24",".268","70.0 %","32.7 %","10.1 %","4.17","3.96","4.03","2.1","1051"
"Jon Niese","Mets","8","8","0","24","24","143.0","6.61","3.02","0.63",".326","72.5 %","51.5 %","8.2 %","3.71","3.58","3.84","2.1","4424"
"Scott Feldman","- - -","12","12","0","30","30","181.2","6.54","2.77","0.94",".258","69.4 %","49.6 %","11.0 %","3.86","4.03","3.96","2.0","6283"
"Mike Pelfrey","Twins","5","13","0","29","29","152.2","5.95","3.12","0.77",".337","67.2 %","43.2 %","7.0 %","5.19","3.99","4.54","2.0","5203"
"Mike Leake","Reds","14","7","0","31","31","192.1","5.71","2.25","0.98",".285","77.7 %","48.7 %","11.5 %","3.37","4.04","3.91","2.0","10130"
"Matt Garza","- - -","10","6","0","24","24","155.1","7.88","2.43","1.16",".290","73.4 %","38.6 %","11.6 %","3.82","3.88","3.73","2.0","3340"
"Kyle Kendrick","Phillies","10","13","0","30","30","182.0","5.44","2.32","0.89",".306","66.6 %","49.4 %","9.5 %","4.70","4.01","4.15","2.0","6230"
"Nate Jones","White Sox","4","5","0","70","0","78.0","10.27","3.00","0.58",".330","62.9 %","50.5 %","9.1 %","4.15","2.64","2.77","2.0","4696"
"Edwin Jackson","Cubs","8","18","0","31","31","175.1","6.93","3.03","0.82",".322","63.3 %","51.3 %","9.9 %","4.98","3.79","3.86","2.0","1841"
"Wei-Yin Chen","Orioles","7","7","0","23","23","137.0","6.83","2.56","1.12",".305","76.0 %","34.4 %","9.9 %","4.07","4.04","4.14","2.0","13071"
"Jesse Crain","White Sox","2","3","0","38","0","36.2","11.29","2.70","0.00",".330","86.1 %","34.8 %","0.0 %","0.74","1.52","2.94","1.9","4817"
"Chris Tillman","Orioles","16","7","0","33","33","206.1","7.81","2.97","1.44",".269","80.5 %","38.6 %","14.2 %","3.71","4.42","3.88","1.9","5279"
"Tyson Ross","Padres","3","8","0","35","16","125.0","8.57","3.17","0.58",".282","71.5 %","54.9 %","8.2 %","3.17","3.20","3.43","1.9","7872"
"Dillon Gee","Mets","12","11","0","32","32","199.0","6.42","2.13","1.09",".296","77.9 %","42.6 %","10.1 %","3.62","4.00","4.07","1.9","7396"
"Matt Moore","Rays","17","4","0","27","27","150.1","8.56","4.55","0.84",".259","78.6 %","39.4 %","8.0 %","3.29","3.95","4.32","1.8","1890"
"Marco Estrada","Brewers","7","4","0","21","21","128.0","8.30","2.04","1.34",".262","74.1 %","37.6 %","11.9 %","3.87","3.86","3.63","1.8","1118"
"Danny Farquhar","Mariners","0","3","16","46","0","55.2","12.77","3.56","0.32",".336","58.5 %","42.1 %","4.9 %","4.20","1.86","2.40","1.8","8501"
"Henderson Alvarez","Marlins","5","6","0","17","17","102.2","5.00","2.37","0.18",".271","67.7 %","53.5 %","2.6 %","3.59","3.18","3.97","1.8","5669"
"Juan Nicasio","Rockies","9","9","0","31","31","157.2","6.79","3.65","0.97",".303","65.7 %","45.1 %","10.0 %","5.14","4.25","4.32","1.8","7731"
"Dan Straily","Athletics","10","8","0","27","27","152.1","7.33","3.37","0.95",".266","70.3 %","36.4 %","8.2 %","3.96","4.05","4.42","1.8","9460"
"Drew Smyly","Tigers","6","0","2","63","0","76.0","9.59","2.01","0.47",".290","80.7 %","43.4 %","5.3 %","2.37","2.31","2.99","1.8","11760"
"Tim Hudson","Braves","8","7","0","21","21","131.1","6.51","2.47","0.69",".281","68.1 %","55.8 %","9.5 %","3.97","3.46","3.56","1.8","921"
"Wade Miley","Diamondbacks","10","10","0","33","33","202.2","6.53","2.93","0.93",".296","75.8 %","52.0 %","12.5 %","3.55","3.98","3.77","1.8","8779"
"Tyler Chatwood","Rockies","8","5","0","20","20","111.1","5.34","3.31","0.40",".314","76.3 %","58.5 %","6.7 %","3.15","3.66","4.00","1.8","4338"
"Tim Lincecum","Giants","10","14","0","32","32","197.2","8.79","3.46","0.96",".300","69.4 %","45.3 %","12.1 %","4.37","3.74","3.56","1.8","5705"
"Aroldis Chapman","Reds","4","5","38","68","0","63.2","15.83","4.10","0.99",".280","86.2 %","33.6 %","14.6 %","2.54","2.47","2.07","1.7","10233"
"Neal Cotts","Rangers","8","3","1","58","0","57.0","10.26","2.84","0.32",".246","89.8 %","44.1 %","4.3 %","1.11","2.17","2.82","1.7","1797"
"Brandon McCarthy","Diamondbacks","5","11","0","22","22","135.0","5.07","1.40","0.87",".320","68.7 %","48.2 %","10.3 %","4.53","3.75","3.77","1.7","4662"
"R.A. Dickey","Blue Jays","14","13","0","34","34","224.2","7.09","2.84","1.40",".265","73.2 %","40.3 %","12.7 %","4.21","4.58","4.23","1.7","1245"
"Glen Perkins","Twins","2","0","36","61","0","62.2","11.06","2.15","0.72",".271","83.3 %","36.2 %","9.4 %","2.30","2.49","2.61","1.7","8041"
"Miguel Gonzalez","Orioles","11","8","0","30","28","171.1","6.30","2.78","1.26",".260","73.6 %","38.9 %","11.4 %","3.78","4.45","4.31","1.6","7024"
"Zach McAllister","Indians","9","9","0","24","24","134.1","6.77","3.28","0.87",".295","72.6 %","37.1 %","7.5 %","3.75","4.03","4.53","1.6","2895"
"Sean Doolittle","Athletics","5","5","2","70","0","69.0","7.83","1.70","0.52",".262","70.5 %","33.0 %","4.6 %","3.13","2.71","3.68","1.6","1581"
"Alex Wood","Braves","3","3","0","31","11","77.2","8.92","3.13","0.35",".333","75.2 %","49.1 %","5.1 %","3.13","2.65","3.18","1.6","13781"
"David Robertson","Yankees","5","1","3","70","0","66.1","10.45","2.44","0.68",".288","87.5 %","50.9 %","10.6 %","2.04","2.61","2.60","1.6","8241"
"Dan Haren","Nationals","10","14","1","31","30","169.2","8.01","1.64","1.49",".302","70.3 %","36.0 %","13.0 %","4.67","4.09","3.67","1.6","1757"
"Jason Grilli","Pirates","0","2","33","54","0","50.0","13.32","2.34","0.72",".327","80.6 %","33.0 %","8.5 %","2.70","1.97","2.21","1.6","521"
"Addison Reed","White Sox","5","4","40","68","0","71.1","9.08","2.90","0.76",".260","68.9 %","33.0 %","6.8 %","3.79","3.17","3.77","1.6","10586"
"Tony Cingrani","Reds","7","4","0","23","18","104.2","10.32","3.70","1.20",".241","82.1 %","34.3 %","12.6 %","2.92","3.78","3.49","1.5","12555"
"Ryan Cook","Athletics","6","4","2","71","0","67.1","8.96","3.34","0.27",".306","78.2 %","46.7 %","3.0 %","2.54","2.74","3.71","1.5","8855"
"Jeremy Hellickson","Rays","12","10","0","32","31","174.0","6.98","2.59","1.24",".307","66.2 %","39.6 %","10.9 %","5.17","4.22","4.15","1.5","4371"
"Sonny Gray","Athletics","5","3","0","12","10","64.0","9.42","2.81","0.56",".276","74.9 %","52.9 %","8.3 %","2.67","2.70","2.92","1.5","12768"
"Matt Cain","Giants","8","10","0","30","30","184.1","7.71","2.69","1.12",".260","71.6 %","37.7 %","10.8 %","4.00","3.93","3.88","1.5","4732"
"Brandon Kintzler","Brewers","3","3","0","71","0","77.0","6.78","1.87","0.23",".281","71.1 %","57.4 %","4.9 %","2.69","2.54","2.93","1.5","9939"
"Mariano Rivera","Yankees","6","2","44","64","0","64.0","7.59","1.27","0.84",".280","87.3 %","46.1 %","10.2 %","2.11","3.05","3.09","1.5","844"
"Charlie Morton","Pirates","7","4","0","20","20","116.0","6.59","2.79","0.47",".306","72.8 %","62.9 %","9.2 %","3.26","3.60","3.69","1.5","4676"
"Garrett Richards","Angels","7","8","1","47","17","145.0","6.27","2.73","0.74",".301","68.6 %","57.9 %","11.3 %","4.16","3.66","3.58","1.4","9784"
"Jason Vargas","Angels","9","8","0","24","24","150.0","6.54","2.76","1.02",".310","76.6 %","40.2 %","9.2 %","4.02","4.09","4.29","1.4","8044"
"Bobby Parnell","Mets","5","5","22","49","0","50.0","7.92","2.16","0.18",".264","68.6 %","51.8 %","2.8 %","2.16","2.33","3.05","1.4","9926"
"Joaquin Benoit","Tigers","4","1","24","66","0","67.0","9.81","2.96","0.67",".256","87.3 %","42.3 %","8.1 %","2.01","2.87","3.16","1.4","1437"
"Shaun Marcum","Mets","1","10","0","14","12","78.1","6.89","2.41","0.80",".322","61.9 %","34.9 %","7.0 %","5.29","3.64","4.22","1.4","6204"
"Wily Peralta","Brewers","11","15","0","32","32","183.1","6.33","3.58","0.93",".293","66.6 %","51.0 %","11.9 %","4.37","4.30","4.13","1.4","7738"
"Tanner Roark","Nationals","7","1","0","14","5","53.2","6.71","1.84","0.17",".243","79.8 %","50.0 %","2.6 %","1.51","2.41","3.14","1.4","8753"
"Wade Davis","Royals","8","11","0","31","24","135.1","7.58","3.86","1.00",".361","67.6 %","40.5 %","10.7 %","5.32","4.18","4.15","1.4","7441"
"Nathan Eovaldi","Marlins","4","6","0","18","18","106.1","6.60","3.39","0.59",".286","73.9 %","43.8 %","6.4 %","3.39","3.59","4.15","1.4","9132"
"Erik Bedard","Astros","4","12","1","32","26","151.0","8.23","4.47","1.07",".308","71.8 %","36.4 %","9.1 %","4.59","4.38","4.61","1.4","126"
"Steve Cishek","Marlins","4","6","34","69","0","69.2","9.56","2.84","0.39",".278","79.7 %","53.1 %","5.8 %","2.33","2.52","2.98","1.4","6483"
"A.J. Griffin","Athletics","14","10","0","32","32","200.0","7.69","2.43","1.62",".242","77.3 %","32.1 %","12.5 %","3.82","4.55","4.18","1.4","11132"
"Alex Torres","Rays","4","2","0","39","0","58.0","9.62","3.10","0.16",".221","80.2 %","42.1 %","2.0 %","1.71","2.32","3.30","1.3","7038"
"Fernando Rodney","Rays","5","4","37","68","0","66.2","11.07","4.86","0.41",".298","73.4 %","50.6 %","7.1 %","3.38","2.84","3.11","1.3","494"
"Chris Capuano","Dodgers","4","7","0","24","20","105.2","6.90","2.04","0.94",".334","68.9 %","46.4 %","9.6 %","4.26","3.55","3.67","1.3","1701"
"Hector Santiago","White Sox","4","9","0","34","23","149.0","8.28","4.35","1.03",".289","77.4 %","36.4 %","9.2 %","3.56","4.44","4.65","1.3","4026"
"Martin Perez","Rangers","10","6","0","20","20","124.1","6.08","2.68","1.09",".292","77.0 %","48.1 %","12.0 %","3.62","4.23","4.04","1.3","6902"
"Tyler Thornburg","Brewers","3","1","0","18","7","66.2","6.48","3.51","0.14",".271","80.7 %","36.2 %","1.4 %","2.03","3.11","4.43","1.3","10688"
"Steve Delabar","Blue Jays","5","5","1","55","0","58.2","12.58","4.45","0.61",".338","74.3 %","29.4 %","6.2 %","3.22","2.72","3.35","1.3","11827"
"Jeff Locke","Pirates","10","7","0","30","30","166.1","6.76","4.55","0.60",".278","75.7 %","53.2 %","8.9 %","3.52","4.03","4.19","1.3","2929"
"Chris Archer","Rays","9","7","0","23","23","128.2","7.06","2.66","1.05",".253","78.8 %","46.8 %","11.7 %","3.22","4.07","3.91","1.3","6345"
"Brett Oberholtzer","Astros","4","5","0","13","10","71.2","5.65","1.63","0.88",".260","76.9 %","35.6 %","7.1 %","2.76","3.65","4.27","1.3","3855"
"Matt Belisle","Rockies","5","7","0","72","0","73.0","7.64","1.85","0.74",".321","65.4 %","48.6 %","10.9 %","4.32","3.03","2.99","1.2","1837"
"Michael Wacha","Cardinals","4","1","0","15","9","64.2","9.05","2.64","0.70",".275","79.7 %","44.3 %","7.4 %","2.78","2.92","3.36","1.2","14078"
"Phil Hughes","Yankees","4","14","0","30","29","145.2","7.48","2.59","1.48",".324","68.7 %","30.8 %","11.1 %","5.19","4.50","4.39","1.2","7450"
"Jarrod Parker","Athletics","12","8","0","32","32","197.0","6.12","2.88","1.14",".260","73.2 %","41.2 %","10.5 %","3.97","4.40","4.41","1.2","4913"
"Casey Janssen","Blue Jays","4","1","34","56","0","52.2","8.54","2.22","0.51",".254","74.3 %","47.9 %","7.1 %","2.56","2.74","3.09","1.2","7355"
"Kevin Correia","Twins","9","13","0","31","31","185.1","4.90","2.19","1.17",".313","76.1 %","44.0 %","11.7 %","4.18","4.40","4.24","1.2","1767"
"Danny Salazar","Indians","2","3","0","10","10","52.0","11.25","2.60","1.21",".298","83.3 %","34.4 %","13.7 %","3.12","3.16","2.75","1.2","5867"
"Bronson Arroyo","Reds","14","12","0","32","32","202.0","5.52","1.51","1.43",".267","77.9 %","44.4 %","14.0 %","3.79","4.49","3.97","1.2","978"
"Tommy Milone","Athletics","12","9","0","28","26","156.1","7.25","2.25","1.44",".284","71.1 %","35.2 %","11.3 %","4.14","4.30","4.15","1.2","7608"
"Luke Gregerson","Padres","6","8","4","73","0","66.1","8.68","2.44","0.41",".257","70.4 %","45.5 %","4.9 %","2.71","2.70","3.37","1.2","4090"
"Chad Gaudin","Giants","5","2","0","30","12","97.0","8.16","3.71","0.56",".278","77.7 %","38.4 %","5.8 %","3.06","3.34","4.00","1.2","1783"
"Nick Vincent","Padres","6","3","1","45","0","46.1","9.52","2.14","0.19",".274","78.5 %","42.9 %","2.6 %","2.14","2.06","2.89","1.2","7555"
"Sergio Romo","Giants","5","8","38","65","0","60.1","8.65","1.79","0.75",".276","78.0 %","40.7 %","7.9 %","2.54","2.85","3.20","1.2","9817"
"Bruce Chen","Royals","9","4","0","34","15","121.0","5.80","2.68","0.97",".255","78.3 %","27.7 %","6.7 %","3.27","4.12","4.93","1.1","769"
"Adam Ottavino","Rockies","1","3","0","51","0","78.1","8.96","3.56","0.57",".311","79.8 %","45.6 %","7.1 %","2.64","3.15","3.54","1.1","1247"
"Craig Stammen","Nationals","7","6","0","55","0","81.2","8.71","2.98","0.44",".326","75.9 %","59.7 %","7.4 %","2.76","2.82","3.08","1.1","7274"
"Luke Hochevar","Royals","5","2","2","58","0","70.1","10.49","2.18","1.02",".214","92.1 %","35.0 %","11.0 %","1.92","2.96","2.90","1.1","6943"
"David Phelps","Yankees","6","5","0","22","12","86.2","8.20","3.63","0.83",".321","66.8 %","42.5 %","8.9 %","4.98","3.81","4.03","1.1","6316"
"Jonathan Papelbon","Phillies","5","1","29","61","0","61.2","8.32","1.61","0.88",".296","76.7 %","39.9 %","7.7 %","2.92","3.05","3.51","1.1","5975"
"J.A. Happ","Blue Jays","5","7","0","18","18","92.2","7.48","4.37","0.97",".288","68.6 %","36.5 %","7.6 %","4.56","4.31","4.84","1.1","7410"
"Dallas Keuchel","Astros","6","10","0","31","22","153.2","7.20","3.05","1.17",".340","68.1 %","55.8 %","17.4 %","5.15","4.25","3.58","1.1","9434"
"LaTroy Hawkins","Mets","3","2","13","72","0","70.2","7.00","1.27","0.76",".301","74.7 %","48.4 %","10.0 %","2.93","3.06","3.12","1.0","729"
"Cody Allen","Indians","6","1","2","77","0","70.1","11.26","3.33","0.90",".307","84.6 %","30.2 %","8.6 %","2.43","2.99","3.27","1.0","12183"
"Charlie Furbush","Mariners","2","6","0","71","0","65.0","11.08","4.02","0.69",".264","64.4 %","40.1 %","8.1 %","3.74","3.06","3.37","1.0","1370"
"Dane de la Rosa","Angels","6","1","2","75","0","72.1","8.09","3.48","0.37",".273","74.3 %","51.3 %","5.5 %","2.86","2.99","3.49","1.0","10095"
"Samuel Deduno","Twins","8","8","0","18","18","108.0","5.58","3.42","0.58",".291","73.7 %","59.7 %","10.3 %","3.83","4.04","4.06","1.0","5285"
"Bryan Shaw","Indians","7","3","1","70","0","75.0","8.76","3.36","0.48",".271","70.6 %","42.5 %","6.1 %","3.24","3.07","3.58","1.0","8110"
"Jean Machi","Giants","3","1","0","51","0","53.0","8.66","2.04","0.34",".301","77.9 %","54.4 %","5.3 %","2.38","2.29","2.78","1.0","3220"
"Carlos Villanueva","Cubs","7","8","0","47","15","128.2","7.20","2.80","0.98",".283","72.7 %","40.0 %","9.8 %","4.06","3.86","3.97","1.0","4138"
"Josh Collmenter","Diamondbacks","5","5","0","49","0","92.0","8.32","3.23","0.78",".277","77.8 %","32.7 %","6.9 %","3.13","3.47","4.06","1.0","7312"
"Brian Matusz","Orioles","2","1","0","65","0","51.0","8.82","2.82","0.53",".292","70.4 %","39.3 %","5.6 %","3.53","2.91","3.59","1.0","2646"
